history1,history2,question,rewrite
不知道速8酒店的评分够不够高呢,他家的评分是4 5分 不低的,行 是不低 挺好的 最后再帮我查下速8酒店的电话 我还有一些事情想咨询下速8酒店,行 是不低 挺好的 最后再帮我查下速8酒店的电话 我还有一些事情想咨询下速8酒店
我还听说北疆饭店这家餐厅口碑不错 帮我查一下这家店的人均消费是多少钱呢,北疆饭店人均消费67元,北疆饭店的推荐菜是什么呢,北疆饭店的推荐菜是什么呢
好的 麻烦在推荐一部悬疑片,好的 推荐您看四重奏,四重奏的豆瓣评分是多少,四重奏的豆瓣评分是多少
你知道李迪吗,是的,他是谁,李迪是谁
这首简歌直不要太经典,你相信命运吗,它一直在我的播放列表里隔段时间就要听听,你相信命运吗一直在我的播放列表里隔段时间就要听听
你头像是谁,我的头像当然是我啦,是你的工作照吗,你头像是你的工作照吗
相声郭德纲,比较喜欢郭德纲的相声,放相声,放郭德纲的相声
不想出国国内有什么好地方推荐,云南昆明丽江大理海南哪里也错,这些地方有好吃的吗,云南昆明丽江大理海南有好吃的吗
再看看下周日广州什么天气呀,是多云的天气哟,广州风大不呢,广州风大不呢
你知道五年中考三年模拟吗,哈哈 话说还有高考题库好吗,作者是谁,五年中考三年模拟作者是谁
那小杨生煎评分怎么样,评分是4 5分,对了 小杨生煎什么时间营业,对了 小杨生煎什么时间营业
那PM4P44031A这个辅导班的开始日期是什么时候呢 还有校区在哪里呢,校区是新区金河大厦 开始日期是2020年4月19,我想问PM4P44031A的讲课老师是谁呢 有没有名气呀 还有上课时间是几点呢,我想问PM4P44031A的讲课老师是谁呢 有没有名气呀 还有上课时间是几点呢
我做火腿给你吃,最爱吃的火腿肠满意,好不好吃,火腿好不好吃
您好 我想看部中国香港的电影 请问有什么好的给我推荐一下呗,搜索的结果有很多 真不知道为您推荐哪个比较适合 请问您喜欢什么类型的呢,我想看部中国香港科幻片电影就行 麻烦您告诉我一下影片名称好吗,我想看部中国香港科幻片电影就行 麻烦您告诉我一下影片名称好吗
宏碁 Acer 商祺SQX4270660N是什么色系,它的色系未明确说明,宏碁 Acer 商祺SQX4270660N的价格多少,宏碁 Acer 商祺SQX4270660N的价格多少
你觉得龙族怎么样,龙族有几部,五部,龙族有五部
竹林七贤都是谁,竹林七贤都是谁,他们是魏晋玄学不是真正的道家思想,竹林七贤是魏晋玄学不是真正的道家思想
嗯嗯 在高新区有没有川菜馆 价位中等的就行,为您查到巴蜀传香是一家中等价位的川菜馆,好的 能告诉我巴蜀传香有啥推荐菜吗,好的 能告诉我巴蜀传香有啥推荐菜吗
东方航空MU2882的到达时间是,次日零点十五分抵达,东方航空MU2882的准点率高吗,东方航空MU2882的准点率高吗
