history1,history2,question,rewrite,model_output,accuracy,semantic_related
你好 我想去趟成都 下周五从广州起飞的航班有吗,有的 推荐你乘坐四川航空3U8556,四川航空3U8556经济舱多少钱,四川航空3U8556经济舱多少钱,四川航空3U8556航班经济舱多少钱,,0
你知道纪晓岚吗,纪晓岚,你了解他吗,你了解纪晓岚吗,你知道纪晓岚吗,,0
PM6P39023辅导班有多少个课次,6个课次,我想知道PM6P39023辅导班是哪个老师讲课呢,我想知道PM6P39023辅导班是哪个老师讲课呢,PM6P39023辅导班是哪个老师讲课,,0
你要當我女朋友嗎,还是不要了吧你那点套路我一看就明白,那幫我介紹吧,那幫我介紹女朋友吧,那帮我介绍女朋友吧,,0
我希望游戏电脑内存是16GB的,推荐您买拯救者刃7000,拯救者刃7000的游戏性能怎么样,拯救者刃7000的游戏性能怎么样,拯救者刃7000的游戏性能怎么样,,1
宏碁 Acer 商祺SQX4270660N这款电脑的显卡类别和系统可以说一下吗,正常装载的是集成显卡 并且是win10的操作系统,好的 宏碁 Acer 商祺SQX4270660N这款电脑的的特性是什么,好的 宏碁 Acer 商祺SQX4270660N这款电脑的的特性是什么,宏碁 Acer 商祺SQX4270660N这款电脑的特性是什么,,0
我发现小姐姐挺像马苏的,我觉得马苏蛮漂亮的,可爱之中带着女人味,马苏可爱之中带着女人味,可爱之中带着女人味的小姐姐,,0
时间挺早的 G355 北京南 厦门北的一等座的车票多少钱,一等座的票价是1347 5元,G355 北京南 厦门北到厦门北站的时间呢,G355 北京南 厦门北到厦门北站的时间呢,G355 北京南 厦门北到厦门北站的到达时间是多少,,0
你们都不认识李炜么,不认识啊,竟然不认识,竟然不认识李炜,竟然不认识李炜,,1
你好 下周四我要从成都到上海办事 我想了解一下那天上海的天气情况 气温多少呢,当天上海是晴天 最高温度15摄氏度 最低温度8摄氏度,下周四上海风大不大呢 会不会很晒,下周四上海风大不大呢 会不会很晒,下周四上海风大不大呢 会不会很晒,,1
你好 你能帮我推荐一台内存为8GB的笔记本电脑吗 最好是i5的CPU 价格区间在5000 10000元的,你可以去看看联想小新Air这款电脑,我想知道联想小新Air这台电脑的裸机重量是几斤呢,我想知道联想小新Air这台电脑的裸机重量是几斤呢,联想小新Air笔记本电脑的裸机重量是多少斤,,0
今天我姐姐一直晒恩爱,求晒恩爱照,她在学校晒恩爱,我姐姐在学校晒恩爱,今天我姐姐在学校晒恩爱,,0
莉莉小炒评分高不,评分是4 5分 还算不错了,4 5分挺高的 我挺满意的 能帮我查一下4 5分的营业时间吗,4 5分挺高的 我挺满意的 能帮我查一下4 5分的营业时间吗,4.5分的莉莉小炒营业时间是多少,,0
戴尔灵越14燃是什么色系的,银色系的,戴尔灵越14燃裸机重量是多少呀,戴尔灵越14燃裸机重量是多少呀,戴尔灵越14燃裸机重量是多少呀,,1
好的 下周日杭州的天气怎么样,是多云转阴的天气,下周日杭州的温差大吗 有风吗,下周日杭州的温差大吗 有风吗,下周日杭州的天气温差大吗有风吗,,0
CZ5051的起飞时间正好 那到达的时间是什么时候呢,到达时间在当天下午14 00,好的 我比较关心CZ5051是否准时 能再帮我查一下它的准点率么,好的 我比较关心CZ5051是否准时 能再帮我查一下它的准点率么,CZ5051的准点率是多少,,0
JAVA是什么,就是一种编程语言,你咋知道的,你咋知道JAVA的,你咋知道JAVA是编程语言的,,0
沙海季播剧,沙海收视如何,不怎么样,沙海季播剧收视不怎么样,沙海季播剧的收视情况不怎么样,,0
好呀 在吗 我比较喜欢品尝美食 听说苏州的莉莉小炒很不错 你知道莉莉小炒的地址吗,知道的 地址在十梓街1号苏州大学西门,挨着大学生意应该很不错 就喜欢莉莉小炒,挨着大学生意应该很不错 就喜欢莉莉小炒,挨着苏州大学西门的莉莉小炒应该很不错 就喜欢莉莉小炒,,0
景德镇有哪几所大学啊,景德镇有景德镇陶瓷学院景德镇学院,那我怎么还听说有工艺美院呢,那我怎么还听说景德镇有工艺美院呢,景德镇工艺美院是哪所大学吗,,0
你好 我和朋友来苏州 听说周庄多瓦台临河客栈这家酒店不错 我们想了解一下这家酒店的标准间,这家酒店房费是279元 设施一应俱全特别不错,请问周庄多瓦台临河客栈他家有停车场么 没有的话我们还不能住在哪里,请问周庄多瓦台临河客栈他家有停车场么 没有的话我们还不能住在哪里,周庄多瓦台临河客栈有停车场吗 没有的话我们还不能住在哪里,,0
关于篮球什么的有篇有关nba球员毅力的文章可以看看,在哪里看,你知道球员为了比赛都能忍受哪些伤痛吗,你知道nba球员为了比赛都能忍受哪些伤痛吗,你知道NBA球员为了比赛都能忍受哪些伤痛吗,,0
你好 下周日下午从杭州到北京的列车帮忙查询下,帮您查到了 有两趟列车 请问您是想乘坐高铁还是动车呢,帮我看下下周日下午从杭州到北京的动车吧 然后我想了解下一等卧还有吗,帮我看下下周日下午从杭州到北京的动车吧 然后我想了解下一等卧还有吗,下周日下午从杭州到北京的动车一等卧还有吗,,0
我家一共有多少羊,让我看看嗯你已经有216只羊咯,怎么能让他们更多呢,怎么能让羊更多呢,怎么能让我家的羊更多呢,,0
PM6T24023这个辅导班的老师是谁呀 教的好吗,老师是彭雪燕老师 任课时间久还是不错的,PM6T24023这个辅导班上课时间是几点啊 我得带孩子提前去啊,PM6T24023这个辅导班上课时间是几点啊 我得带孩子提前去啊,PM6T24023这个辅导班的上课时间是几点啊 我得带孩子提前去啊,,0
那苏州大学附属理想眼科医院挂号时间也和门诊时间一样么,不一样 挂号时间是7 30 17 30,把苏州大学附属理想眼科医院的电话给我吧 我有事可以直接给医院打,把苏州大学附属理想眼科医院的电话给我吧 我有事可以直接给医院打,苏州大学附属理想眼科医院的电话是多少，我有事可以直接给医院打,,0
我要看水菜丽的照片,水菜丽你都知道,来几张照片,来几张水菜丽的照片,水菜丽来几张照片,,0
你好 我是来苏州办事的 顺便想逛逛景点 能不能给我找一个消费便宜的山水景区啊,那我为您推荐西山景区 这里景色宜人 很适合出游踏青,知道西山景区的开放时间吗 有什么特点吗,知道西山景区的开放时间吗 有什么特点吗,知道西山景区的开放时间吗 有什么特点吗,,1
我为啥要给你写情书,我看看你给我写的情书,没给你写,没给你写情书,我为啥要给你写情书没给你写,,0
你认识张芳嘛,嗯 ,想认识她嘛,想认识张芳嘛,想认识张芳嘛,,1
好 如果我下周五改乘去广州的飞机呢 当天有哪个航班呀,去广州的话 当天有上海航空FM9309 虹桥国际机场T2 白云国际机场T1,上海航空FM9309的经济舱票价多少钱呢,上海航空FM9309的经济舱票价多少钱呢,上海航空FM9309的经济舱票价多少钱呢,,1
你怎么知道我是天秤座,之前你说过的忘啦,没有说过,没有说过我是天秤座,没有说过天秤座,,0
你好 请问有没有90年代热播的台湾电视剧给我推荐一部吧 最好是剧情片,您好 根据您的要求 给您推荐倚天屠龙记,倚天屠龙记一集有多长,倚天屠龙记一集有多长,倚天屠龙记一集时长是多少,,0
没空调,能穿短袖吗,当然能穿短袖短裤都可以穿,没空调当然能穿短袖短裤都可以穿,当然能穿短袖，短裤也可以穿,,0
朴树的音乐不错,朴树很棒的音乐人,他编得       我曾经跨过山和大海也穿过人山人海,朴树编得       我曾经跨过山和大海也穿过人山人海,朴树编得我曾经跨过山和大海也穿过人山人海,,0
高天鹤呢,是天津歌舞剧院歌剧团歌剧演员,哦他帅吗,哦高天鹤帅吗,哦高天鹤帅吗,,1
那你认识王科吗,嗯嗯,他是北京理工大学管理与经济学院教授,王科是北京理工大学管理与经济学院教授,王科是北京理工大学管理与经济学院教授,,1
拉布拉多知道吗,一直都很心疼拉布拉多我见过的工作犬最多的就是拉不拉多了希望大家都能友好的对待他们因为他们在用短暂的生命为我们服务,它拉肚子咋办,拉布拉多拉肚子咋办,拉布拉多拉肚子咋办,,1
曼雨在哪里,广州啊,她在广州白云区,曼雨在广州白云区,曼雨在广州白云区,,1
慈禧,高阳 慈禧全传,好看吗,慈禧全传好看吗,高阳《慈禧全传》好看吗,,0
吴邪的,想成为吴邪一样的人,他是我的,吴邪是我的,吴邪是我的,,1
把我的羊还给我,请你还给人家,我这就还给你,我这就把羊还给你,把我的羊还给你,,0
密码呢,有指纹密码,来识别一下,来识别一下指纹密码,指纹密码识别一下,,0
少年派挺好的,少年派故事极其无聊但是景很美3D很出彩就是这样,画面感特别好,少年派画面感特别好,画面感特别好是指少年派的景很美3D很出彩,,0
你好 请问可以给我找一个相城区的公立医院吗,您可以去苏州市广济医院,好的 那苏州市广济医院都什么时间段可以挂号,好的 那苏州市广济医院都什么时间段可以挂号,好的 那苏州市广济医院的挂号时间段是什么,,0
你普通话太烂了,我普通话很烂的,你知道就好,你知道你普通话很烂就好,你知道我普通话很烂就好,,0
为什么是陈,陈欧挺住,为自己 代言,陈欧为自己 代言,陈欧为自己代言,,1
电脑内存容量8G就行 给推荐一款吧,推荐宏碁 炫6系列的宏碁威武骑士A725,宏碁威武骑士A725什么显卡呢,宏碁威武骑士A725什么显卡呢,宏碁威武骑士A725的显卡是什么？,,0
泰勒斯威夫特的专辑,首张同名最乡村,其他专辑呢,泰勒斯威夫特的其他专辑呢,泰勒斯威夫特的其他专辑呢,,1
给我说说洛阳的天气,洛阳今天的天气是晴12度到25度东北风小于3级,明天呢,洛阳明天的天气呢,洛阳明天的天气,,0
新加坡,新加坡今天的天气是暴雨24度到28度东南风小于3级,你骗我 今天没有下大雨啊,你骗我 新加坡今天没有下大雨啊,新加坡今天的天气是暴雨24度到28度东南风小于3级吗,,0
喜欢古天乐,古天乐啊,不是明星是啥,古天乐不是明星是啥,古天乐不是明星是啥,,1
抚仙湖在哪儿,应该是云南省玉溪市澄江县吧,没错没错我家就在这,没错没错我家就在云南省玉溪市澄江县,抚仙湖在云南省玉溪市澄江县，我家就在这,,0
用的什么输入法,说过了章鱼输入法,没听说过,没听说过章鱼输入法,章鱼输入法没听说过,,0
你能换个头像么,不要现在就喜欢这个,不好看啊,头像不好看啊,不好看啊这个头像,,0
你好 2020年想利用空余时间回味一下经典的老电影 你帮我推荐一部中国大陆2000年代的恐怖片吧,好的 为您查到深海寻人,深海寻人的导演是谁,深海寻人的导演是谁,深海寻人的导演是谁,,1
你好 我马上就要开学了 想买一台最新款的笔记本电脑 比较了几款 我倾向于宏碁这个品牌 想要15 6英寸的轻薄本 内存8G 麻烦你推荐一款,你好 宏碁 炫6这个系列中的宏碁威武骑士A725这款不错,宏碁威武骑士A725的显卡型号是,宏碁威武骑士A725的显卡型号是,宏碁威武骑士A725的显卡型号是,,1
我要下周四上午从杭州出发去上海的动车吧 一等座,D3324次吧,好的 D3324什么时间出发呢,好的 D3324什么时间出发呢,D3324次动车从杭州出发去上海的出发时间是什么时候？,,0
联想 小新Air系列的联想小新Air的待机时间是多久,它的待机时间是7 9小时,那联想 小新Air系列的联想小新Air有什么特性,那联想 小新Air系列的联想小新Air有什么特性,联想小新Air系列的特性是什么,,0
嗯嗯 好的 速8酒店有没有停车场呢,有免费停车场了,那告诉我一下速8酒店的电话号码吧,那告诉我一下速8酒店的电话号码吧,速8酒店的电话号码是多少,,0
好 请问惠普 HP Envy13的裸机重量是多少,该产品的裸机重量是1 1 5kg,那惠普 HP Envy13的硬盘容量呢,那惠普 HP Envy13的硬盘容量呢,惠普 HP Envy13的硬盘容量是多少,,0
看过love live吗,love live是什么,是动漫,love live是动漫,love live是动漫,,1
你觉得刘亦菲怎么样,我觉得刘亦菲漂亮,只有漂亮,刘亦菲只有漂亮,只有刘亦菲漂亮,,0
我可不想学手绘,手绘很好玩的,蛮好看的,手绘蛮好看的,手绘蛮好看的,,1
在不 我想明天请朋友吃西餐 你帮我找一家偏贵一些的餐厅好吗,我强烈推荐你们去王品牛排尝尝,行 王品牛排是不是中午才开始营业呢,行 王品牛排是不是中午才开始营业呢,行 王品牛排是不是中午才开始营业呢,,1
提督哥哥那猪肉铺还能吃吗,猪肉脯怎么样,这个啊我还真了解得不多但是我知道酸奶,猪肉脯啊我还真了解得不多但是我知道酸奶,这个啊我还真了解得不多但是我知道酸奶,,0
宇智波鼬确实厉害,宇智波鼬暂时很厉害,谁比他还厉害,谁比宇智波鼬还厉害,宇智波鼬比他还厉害的有哪些人,,0
萧忆情是谁阿,一个很优秀的人,把自己也变得优秀 好好的爱自己关心他 那样的爱才持久,把自己也变得优秀 好好的爱自己关心萧忆情 那样的爱才持久,萧忆情应该怎样做才能让自己变得优秀，并好好爱自己、关心自己，从而让那样的爱变得持久？,,0
